,detector,text_id,score,fp,pp
169,GPT2Detector,grs_fp_0.1_1.2_res_4,0.9998064637184144,0.1,1.2
170,GPT2Detector,grs_fp_0.1_1.3_res_0,0.9998146891593932,0.1,1.3
171,GPT2Detector,grs_fp_0.1_1.3_res_1,0.9599905014038086,0.1,1.3
172,GPT2Detector,grs_fp_0.1_1.3_res_2,0.986789882183075,0.1,1.3
173,GPT2Detector,grs_fp_0.1_1.3_res_3,0.9245805144309998,0.1,1.3
174,GPT2Detector,grs_fp_0.1_1.4_res_1,0.9935044050216676,0.1,1.4
175,GPT2Detector,grs_fp_0.1_1.3_res_4,0.9998142123222352,0.1,1.3
176,GPT2Detector,grs_fp_0.1_1.4_res_0,0.999826967716217,0.1,1.4
177,GPT2Detector,grs_fp_0.1_1.4_res_2,0.9177521467208862,0.1,1.4
178,GPT2Detector,grs_fp_0.1_1.5_res_1,0.9998251795768738,0.1,1.5
179,GPT2Detector,grs_fp_0.1_1.4_res_3,0.9384430050849916,0.1,1.4
180,GPT2Detector,grs_fp_0.1_1.4_res_4,0.9998095631599426,0.1,1.4
181,GPT2Detector,grs_fp_0.1_1.5_res_2,0.0002123713493347,0.1,1.5
182,GPT2Detector,grs_fp_0.1_1.5_res_0,0.999816358089447,0.1,1.5
183,GPT2Detector,grs_fp_0.1_1.5_res_4,0.999810755252838,0.1,1.5
184,GPT2Detector,grs_fp_0.1_1.5_res_3,0.6053167581558228,0.1,1.5
185,GPT2Detector,grs_fp_0.1_1.6_res_1,0.0003511905670166,0.1,1.6
186,GPT2Detector,grs_fp_0.1_1.6_res_3,0.6774963140487671,0.1,1.6
187,GPT2Detector,grs_fp_0.1_1.6_res_0,0.999822437763214,0.1,1.6
188,GPT2Detector,grs_fp_0.1_1.6_res_2,0.9238526821136476,0.1,1.6
189,GPT2Detector,grs_fp_0.1_1.7_res_1,0.0080310702323913,0.1,1.7
190,GPT2Detector,grs_fp_0.1_1.6_res_4,0.2399424314498901,0.1,1.6
191,GPT2Detector,grs_fp_0.1_1.7_res_0,0.9613080620765686,0.1,1.7
192,GPT2Detector,grs_fp_0.1_1.7_res_2,0.0228800773620605,0.1,1.7
193,GPT2Detector,grs_fp_0.1_1.7_res_3,0.9998207688331604,0.1,1.7
194,GPT2Detector,grs_fp_0.1_1.8_res_1,0.8718047142028809,0.1,1.8
195,GPT2Detector,grs_fp_0.1_1.7_res_4,0.9996956586837769,0.1,1.7
196,GPT2Detector,grs_fp_0.1_1.8_res_0,0.9997462630271912,0.1,1.8
197,GPT2Detector,grs_fp_0.1_1.8_res_2,0.828093409538269,0.1,1.8
198,GPT2Detector,grs_fp_0.1_1.8_res_4,0.9996010661125184,0.1,1.8
199,GPT2Detector,grs_fp_0.1_1.8_res_3,0.238113522529602,0.1,1.8
200,GPT2Detector,grs_fp_0.1_1.9_res_1,0.0001786351203918,0.1,1.9
201,GPT2Detector,grs_fp_0.1_1.9_res_0,0.9996697902679444,0.1,1.9
202,GPT2Detector,grs_fp_0.1_1.9_res_2,0.0009790658950805,0.1,1.9
203,GPT2Detector,grs_fp_0.1_1.9_res_3,0.5684857368469238,0.1,1.9
204,GPT2Detector,grs_fp_0.1_1.9_res_4,0.999826967716217,0.1,1.9
205,GPT2Detector,grs_fp_0.1_2.0_res_1,0.9998249411582948,0.1,2.0
206,GPT2Detector,grs_fp_0.1_2.0_res_3,0.0003620386123657,0.1,2.0
207,GPT2Detector,grs_fp_0.1_2.0_res_0,0.999611794948578,0.1,2.0
208,GPT2Detector,grs_fp_0.1_2.0_res_2,0.0004230141639709,0.1,2.0
209,GPT2Detector,grs_fp_0.1_2.0_res_4,0.9730933904647828,0.1,2.0
210,GPT2Detector,grs_fp_0.2_0.0_res_0,0.9998268485069276,0.2,0.0
211,GPT2Detector,grs_fp_0.2_0.0_res_1,0.9997515082359314,0.2,0.0
212,GPT2Detector,grs_fp_0.2_0.0_res_3,0.8102899193763733,0.2,0.0
213,GPT2Detector,grs_fp_0.2_0.0_res_2,0.9997926354408264,0.2,0.0
214,GPT2Detector,grs_fp_0.2_0.0_res_4,0.999821126461029,0.2,0.0
