detector,text_id,score,parameter name,parameter value
GPTZero,pp_1.0_res_1,0.9973955738343496,pp,1.0
GPTZero,pp_1.0_res_2,0.9134421713662072,pp,1.0
GPTZero,pp_1.2_res_0,0.9977775103937532,pp,1.2
GPTZero,pp_1.0_res_3,0.9973955738343496,pp,1.0
GPTZero,pp_1.0_res_4,0.9977558223168834,pp,1.0
GPTZero,pp_1.2_res_2,0.9977558223168834,pp,1.2
GPTZero,pp_1.2_res_1,0.982251886615535,pp,1.2
GPTZero,pp_1.2_res_3,0.9977558223168834,pp,1.2
GPTZero,pp_1.4_res_0,0.8314732230637943,pp,1.4
GPTZero,pp_1.2_res_4,0.9977558223168834,pp,1.2
GPTZero,pp_1.4_res_1,0.9977558223168834,pp,1.4
GPTZero,pp_1.4_res_2,0.9826080317224812,pp,1.4
GPTZero,pp_1.4_res_3,0.9977558223168834,pp,1.4
GPTZero,pp_1.4_res_4,0.7127008076684122,pp,1.4
GPTZero,pp_1.6_res_1,0.967348271939558,pp,1.6
GPTZero,pp_1.6_res_0,0.9973955738343496,pp,1.6
GPTZero,pp_1.6_res_2,0.915321344878592,pp,1.6
GPTZero,pp_1.6_res_3,0.9977558223168834,pp,1.6
GPTZero,pp_1.8_res_0,0.9973955738343496,pp,1.8
GPTZero,pp_1.6_res_4,0.9973955738343496,pp,1.6
GPTZero,pp_1.8_res_3,0.9977558223168834,pp,1.8
GPTZero,pp_1.8_res_2,0.9977558223168834,pp,1.8
GPTZero,pp_2.0_res_0,0.9977558223168834,pp,2.0
GPTZero,pp_1.8_res_4,0.915321344878592,pp,1.8
GPTZero,pp_2.0_res_2,0.9977775103937532,pp,2.0
GPTZero,pp_1.8_res_1,1.0,pp,1.8
GPTZero,pp_2.0_res_1,1.0,pp,2.0
GPTZero,pp_2.0_res_4,0.9807071088338744,pp,2.0
GPTZero,pp_2.0_res_3,0.9977558223168834,pp,2.0
GPTZero,temp_0.0_res_0,0.9977558223168834,temp,0.0
GPTZero,temp_0.0_res_1,0.9977558223168834,temp,0.0
GPTZero,temp_0.0_res_2,0.9104753354570072,temp,0.0
GPTZero,temp_0.0_res_4,0.9977558223168834,temp,0.0
GPTZero,temp_0.1_res_0,0.9977558223168834,temp,0.1
GPTZero,temp_0.1_res_2,1.0,temp,0.1
GPTZero,temp_0.1_res_1,0.982932157729323,temp,0.1
GPTZero,temp_0.0_res_3,0.9977558223168834,temp,0.0
GPTZero,temp_0.1_res_4,0.9973955738343496,temp,0.1
GPTZero,temp_0.1_res_3,0.9977558223168834,temp,0.1
GPTZero,temp_0.2_res_2,0.9977558223168834,temp,0.2
GPTZero,temp_0.2_res_1,0.9977558223168834,temp,0.2
GPTZero,temp_0.2_res_0,0.9977558223168834,temp,0.2
GPTZero,temp_0.2_res_3,0.9977558223168834,temp,0.2
GPTZero,temp_0.2_res_4,0.9977558223168834,temp,0.2
GPTZero,temp_0.3_res_0,0.9977558223168834,temp,0.3
GPTZero,temp_0.3_res_1,0.9977558223168834,temp,0.3
GPTZero,temp_0.3_res_4,0.9973955738343496,temp,0.3
GPTZero,temp_0.3_res_2,0.9977558223168834,temp,0.3
GPTZero,temp_0.3_res_3,0.982251886615535,temp,0.3
GPTZero,temp_0.4_res_0,0.9977558223168834,temp,0.4
GPTZero,temp_0.4_res_1,0.9977558223168834,temp,0.4
GPTZero,temp_0.4_res_3,0.9826080317224812,temp,0.4
GPTZero,temp_0.4_res_2,0.9820821274401206,temp,0.4
GPTZero,temp_0.5_res_0,0.9977558223168834,temp,0.5
GPTZero,temp_0.5_res_1,0.9826080317224812,temp,0.5
GPTZero,temp_0.4_res_4,0.9092670190856504,temp,0.4
GPTZero,temp_0.5_res_4,0.9106245014028448,temp,0.5
GPTZero,temp_0.5_res_2,0.9973955738343496,temp,0.5
GPTZero,temp_0.6_res_0,0.9977558223168834,temp,0.6
GPTZero,temp_0.6_res_1,0.9977558223168834,temp,0.6
GPTZero,temp_0.5_res_3,0.982932157729323,temp,0.5
GPTZero,temp_0.6_res_3,0.9977775103937532,temp,0.6
GPTZero,temp_0.6_res_2,0.9977775103937532,temp,0.6
GPTZero,temp_0.6_res_4,0.9977558223168834,temp,0.6
GPTZero,temp_0.7_res_0,0.9977558223168834,temp,0.7
GPTZero,temp_0.7_res_2,0.982932157729323,temp,0.7
GPTZero,temp_0.7_res_4,0.9825825322814176,temp,0.7
GPTZero,temp_0.7_res_3,0.9977558223168834,temp,0.7
GPTZero,temp_0.7_res_1,0.9973955738343496,temp,0.7
GPTZero,temp_0.8_res_0,0.9825825322814176,temp,0.8
GPTZero,temp_0.8_res_1,0.9106245014028448,temp,0.8
GPTZero,temp_0.8_res_3,0.9826080317224812,temp,0.8
GPTZero,temp_0.8_res_4,0.9977558223168834,temp,0.8
GPTZero,temp_0.8_res_2,0.9973955738343496,temp,0.8
GPTZero,temp_0.9_res_0,0.9977558223168834,temp,0.9
GPTZero,temp_0.9_res_1,0.9106245014028448,temp,0.9
GPTZero,temp_0.9_res_3,0.9977775103937532,temp,0.9
GPTZero,temp_1.0_res_0,1.0,temp,1.0
GPTZero,temp_0.9_res_4,0.9977558223168834,temp,0.9
GPTZero,temp_1.0_res_2,0.915173930512831,temp,1.0
GPTZero,temp_0.9_res_2,0.9977558223168834,temp,0.9
GPTZero,temp_1.0_res_4,0.9977558223168834,temp,1.0
GPTZero,temp_1.0_res_1,0.9977558223168834,temp,1.0
GPTZero,temp_1.0_res_3,0.9106245014028448,temp,1.0
GPTZero,temp_1.1_res_1,0.9977558223168834,temp,1.1
GPTZero,temp_1.1_res_0,0.9973955738343496,temp,1.1
GPTZero,temp_1.1_res_3,0.982932157729323,temp,1.1
GPTZero,temp_1.1_res_2,0.7283840570482618,temp,1.1
GPTZero,temp_1.1_res_4,0.9977558223168834,temp,1.1
GPTZero,temp_1.2_res_0,0.9825825322814176,temp,1.2
GPTZero,temp_1.2_res_2,0.9109374343376851,temp,1.2
GPTZero,temp_1.2_res_3,0.9825825322814176,temp,1.2
GPTZero,temp_1.2_res_4,0.9977775103937532,temp,1.2
GPTZero,temp_1.2_res_1,0.9016832316155456,temp,1.2
GPTZero,temp_1.3_res_2,0.982932157729323,temp,1.3
GPTZero,temp_1.3_res_0,0.9973955738343496,temp,1.3
GPTZero,temp_1.3_res_1,0.982251886615535,temp,1.3
GPTZero,temp_1.3_res_3,0.9977558223168834,temp,1.3
GPTZero,temp_1.3_res_4,0.9825825322814176,temp,1.3
GPTZero,temp_1.4_res_0,0.9977558223168834,temp,1.4
GPTZero,temp_1.4_res_1,0.9826080317224812,temp,1.4
GPTZero,temp_1.4_res_2,0.9957527940105094,temp,1.4
GPTZero,temp_1.4_res_3,0.982932157729323,temp,1.4
GPTZero,temp_1.4_res_4,0.915321344878592,temp,1.4
GPTZero,temp_1.5_res_0,0.9973955738343496,temp,1.5
