detector,text_id,score,parameter name,parameter value,category
GPT2Detector,fp_1.1_res_4,0.0003391504287719,fp,1.1,res
GPT2Detector,fp_1.1_res_3,0.0001892447471618,fp,1.1,res
GPT2Detector,fp_1.2_arg_1,0.0003656148910522,fp,1.2,arg
GPT2Detector,fp_1.2_arg_0,0.000260055065155,fp,1.2,arg
GPT2Detector,fp_1.2_arg_2,0.0002303719520568,fp,1.2,arg
GPT2Detector,fp_1.2_arg_3,0.0003056526184082,fp,1.2,arg
GPT2Detector,fp_1.2_arg_4,0.0003265142440795,fp,1.2,arg
GPT2Detector,fp_1.2_res_0,0.0004108548164367,fp,1.2,res
GPT2Detector,fp_1.2_res_1,0.0003532171249389,fp,1.2,res
GPT2Detector,fp_1.2_res_3,0.0004408955574035,fp,1.2,res
GPT2Detector,fp_1.2_res_2,0.0002859234809875,fp,1.2,res
GPT2Detector,fp_1.3_arg_0,0.0002626776695251,fp,1.3,arg
GPT2Detector,fp_1.2_res_4,0.0002726912498474,fp,1.2,res
GPT2Detector,fp_1.3_arg_1,0.0001828074455261,fp,1.3,arg
GPT2Detector,fp_1.3_arg_3,0.0001978278160095,fp,1.3,arg
GPT2Detector,fp_1.3_arg_2,0.0002090334892272,fp,1.3,arg
GPT2Detector,fp_1.3_arg_4,0.000507116317749,fp,1.3,arg
GPT2Detector,fp_1.3_res_0,0.0002722144126892,fp,1.3,res
GPT2Detector,fp_1.3_res_2,0.0002110600471496,fp,1.3,res
GPT2Detector,fp_1.3_res_1,0.0002029538154602,fp,1.3,res
GPT2Detector,fp_1.3_res_3,0.0003944039344787,fp,1.3,res
GPT2Detector,fp_1.3_res_4,0.0003291368484497,fp,1.3,res
GPT2Detector,fp_1.4_arg_0,0.0002159476280212,fp,1.4,arg
GPT2Detector,fp_1.4_arg_2,0.0003520250320434,fp,1.4,arg
GPT2Detector,fp_1.4_arg_1,0.0004701614379882,fp,1.4,arg
GPT2Detector,fp_1.4_arg_3,0.0003293752670288,fp,1.4,arg
GPT2Detector,fp_1.4_res_0,0.0004073977470397,fp,1.4,res
GPT2Detector,fp_1.4_res_1,0.000430405139923,fp,1.4,res
GPT2Detector,fp_1.4_arg_4,0.0202614068984985,fp,1.4,arg
GPT2Detector,fp_1.4_res_4,0.0004754066467285,fp,1.4,res
GPT2Detector,fp_1.4_res_2,0.0002183318138122,fp,1.4,res
GPT2Detector,fp_1.4_res_3,0.000486135482788,fp,1.4,res
GPT2Detector,fp_1.5_arg_0,0.0003403425216674,fp,1.5,arg
GPT2Detector,fp_1.5_arg_1,0.0002402663230895,fp,1.5,arg
GPT2Detector,fp_1.5_arg_2,0.0003430843353271,fp,1.5,arg
GPT2Detector,fp_1.5_res_0,0.0002523064613342,fp,1.5,res
GPT2Detector,fp_1.5_arg_4,0.0002594590187072,fp,1.5,arg
GPT2Detector,fp_1.5_arg_3,0.0002768635749816,fp,1.5,arg
GPT2Detector,fp_1.5_res_1,0.0001731514930725,fp,1.5,res
GPT2Detector,fp_1.5_res_2,0.0002402663230895,fp,1.5,res
GPT2Detector,fp_1.5_res_3,0.0002641081809997,fp,1.5,res
GPT2Detector,fp_1.5_res_4,0.0003590583801269,fp,1.5,res
GPT2Detector,fp_1.6_arg_1,0.0002484917640686,fp,1.6,arg
